Disease	Category	Gene	From_MarkerDB	Info_MarkerDB	From_KEGG	Info_KEGG	From_DisGeNET	Info_DisGeNET	From_PubMed
Abnormal involuntary movements	nervous	BBS9	X	X	X	X	X	X	O
Abnormal involuntary movements	nervous	GDI1	X	X	X	X	X	X	O
Abnormal involuntary movements	nervous	LMOD1	X	X	X	X	X	X	O
Absence epilepsy	nervous	CACNA1A	X	X	X	X	O	X	X
Absence epilepsy	nervous	CACNA1H	X	X	X	X	O	X	X
Absence epilepsy	nervous	CACNA2D2	X	X	X	X	O	X	X
Absence epilepsy	nervous	EFHC1	X	X	X	X	O	X	X
Absence epilepsy	nervous	GABRB3	X	X	X	X	O	X	X
Absence epilepsy	nervous	JRK	X	X	X	X	O	X	X
Absence epilepsy	nervous	KCNK9	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA1A	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA1H	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA2D2	X	X	X	X	O	X	X
Absence seizure disorder	nervous	EFHC1	X	X	X	X	O	X	X
Absence seizure disorder	nervous	GABRB3	X	X	X	X	O	X	X
Absence seizure disorder	nervous	JRK	X	X	X	X	O	X	X
Absence seizure disorder	nervous	KCNK9	X	X	X	X	O	X	X
Absence status epilepticus	nervous	ARSL	X	X	X	X	X	X	O
Absence status epilepticus	nervous	GJA8	X	X	X	X	X	X	O
Achromatopsia	nervous	ATF6	X	X	O	-	X	X	X
Achromatopsia	nervous	CNGA3	X	X	O	-	X	X	X
Achromatopsia	nervous	CNGB3	X	X	O	-	X	X	X
Achromatopsia	nervous	GNAT2	X	X	O	-	X	X	X
Achromatopsia	nervous	PDE6C	X	X	O	-	X	X	X
Achromatopsia	nervous	PDE6H	X	X	O	-	X	X	X
Acquired neuromyotonia	nervous	HINT1	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	EPO	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	PNPLA6	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	SCP2	X	X	X	X	O	X	X
Acroparaesthesia	nervous	ELP1	X	X	X	X	X	X	O
Acroparaesthesia	nervous	GLA	X	X	X	X	X	X	O
Acroparaesthesia	nervous	NAT8	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	AGER	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	APOBEC3C	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	CCL22	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	DENND1B	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	FCGR1A	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	IGHE	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	LINC00278	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	MOK	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	MUC1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	RANGAP1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SCGB1A1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SH3BP5	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SLC17A5	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SMR3A	X	X	X	X	X	X	O
Acute bronchitis	respiratory	ARCN1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	BRD4	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CALCA	X	X	X	X	X	X	O
Acute bronchitis	respiratory	COPD	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CRP	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CSRP1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CTAA1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	HACD1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	LNPEP	X	X	X	X	X	X	O
Acute bronchitis	respiratory	PPIAP10	X	X	X	X	X	X	O
Acute bronchitis	respiratory	SERPINB6	X	X	X	X	X	X	O
Acute bronchitis	respiratory	SORBS1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	UROD	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ACAT1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	AQP4	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ATM	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHI3L1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHKA	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHKB	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CISH	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CMPK1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CND	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	COL9A3	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	COX5A	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CSF2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CXCL13	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CYREN	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DGCR2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DNAAF4	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DYX1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ELANE	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ENO2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ERMAP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	FANCA	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	FXN	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	GFAP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	GYPC	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	IGHG3	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	IGLL1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	LAMC2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MBL2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MBP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MCL1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MOG	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MS	X	X	X	X	X	X	O
