Disease	Biomarkers
Allergic rhinitis	['IL17A', 'IL10', 'DNASE1L3', 'DAO', 'AOC1', 'SPACA9', 'NR1I2', 'JTB', 'OIP5-AS1', 'SCGB3A2', 'LTA4H', 'IRF1', 'FCN2', 'SLC5A8', 'TSLP', 'TNFSF13B', 'IGHE', 'IL4', 'MTR', 'MS', 'NPY', 'RANGAP1', 'SLC17A5', 'NRG1', 'ECSCR', 'BPIFB2', 'HR', 'SPP1', 'CD19', 'CCL11', 'TNF', 'TYMS', 'PYCARD', 'FLNC', 'IL27', 'MYDGF', 'HPSE', 'CXCL10', 'CD48', 'IGF1', 'SLC25A25', 'RNASE3', 'CPSF4', 'PTGDS', 'HPGDS', 'TFRC', 'CP', 'CD14', 'NDUFA2', 'FGFR3', 'RNASE2', 'LOC102723407', 'LOC102724971', 'FLVCR1', 'ARCN1', 'COPD', 'NDUFB6', 'NFASC', 'CCL17', 'CCL5', 'LAMP1', 'HLA-G', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'MASP1', 'EPB41', 'CYTIP', 'RAI1', 'SMS', 'IL1B', 'ARSA', 'CD4', 'PLXNA2', 'LINC01672', 'CD8A', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'COX5A', 'DSP', 'PTGDR', 'SRPRA', 'SLFN12', 'SGCG', 'ATP6V0A4', 'PLP2', 'IGKV1D-27', 'PREP', 'AP3B1', 'CLC', 'CLCF1', 'CD63', 'DNAH5', 'PCBD1', 'DNAI1', 'DNAAF3', 'JPX', 'MZF1-AS1', 'IL13', 'SARDH', 'SRL', 'ACOT7', 'STAT6', 'CCL4', 'IL12A', 'AGXT', 'SCGB1A1', 'SLPI', 'MUC5AC', 'FCER2', 'HP', 'DLC1', 'HPR', 'HNRNPU', 'CMA1', 'KRAS', 'GNL3', 'SPINK5', 'CXCR5', 'MBL2', 'MBP', 'PRG2', 'AR', 'AKR1B1', 'NFKB1', 'MFAP1', 'RIT1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'ENPP3', 'CALCA', 'PCYT1A', 'KRT17', 'PODXL', 'PC', 'TCN1', 'MIF', 'S100A9', 'AMH', 'S100A8', 'IL31', 'PTPRN2', 'CPB2', 'IFNA1', 'LIPH', 'HCA1', 'GC', 'GBAP1', 'ACACA', 'IL12B', 'OPTC', 'SUCO', 'JUP', 'PTPRF', 'ALCAM', 'RLN2', 'RORC', 'GLDC', 'AMT', 'GCSH', 'TLR7', 'IGFALS', 'LPCAT2', 'BECN1', 'IL1RL1', 'ST2', 'SULT2A1', 'SDCBP2', 'CXCR1', 'IKZF4', 'PRSS33', 'EOS', 'IL5', 'NOVA2', 'MUC4', 'CD93', 'DMPK', 'C11orf65', 'CD2', 'TWIST1', 'IGLL1', 'IDO1']
Non-allergic rhinitis	['EPB41', 'CYTIP', 'RLN2', 'CPSF4', 'AGXT', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'DNASE1L3', 'AR', 'AKR1B1', 'IGHE', 'TWIST1', 'TCN1', 'HP', 'DLC1', 'HPR', 'NR1I2', 'SARDH', 'SRL', 'PTPRF', 'IKZF4', 'PRSS33', 'EOS']
Chronic rhinosinusitis	['NPS', 'PRRT2', 'SPG7', 'ENO2', 'CMM', 'TSLP', 'PPP1R3A', 'TLR2', 'IGHE', 'CDKN2A', 'RANGAP1', 'SLC17A5', 'PDIA3', 'PLCB1', 'PLCB4', 'HR', 'CXCL10', 'CNR2', 'TYMP', 'TMPO', 'SCO2', 'LCN1', 'HPSE', 'POSTN', 'CCL17', 'SERPINB5', 'TNFRSF11B', 'BTF3P11', 'PDIA6', 'SLC10A5', 'RNASE3', 'ITK', 'SLC22A3', 'CPSF4', 'MUC1', 'AGA', 'GLS2', 'PIK3CA', 'PIK3CG', 'PIK3CB', 'PIK3CD', 'ELANE', 'ALOX15', 'CHI3L1', 'RNASE2', 'NDUFB6', 'TAS2R38', 'CREB1', 'ARCN1', 'COPD', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'NELFCD', 'EPB41', 'CYTIP', 'CSF3', 'VEGFA', 'ARSA', 'CD4', 'KDR', 'IL6', 'SULT1A1', 'ST8SIA4', 'CD8A', 'BPIFA1', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'ATM', 'COX5A', 'CLC', 'CLCF1', 'IRF6', 'DNAH5', 'PCBD1', 'DNAI1', 'DNAAF3', 'SPARC', 'IL13', 'STAT6', 'ARHGEF40', 'SESTD1', 'DLL1', 'SLC25A5', 'IL4', 'MUC5AC', 'MT3', 'KRAS', 'GNL3', 'SPINK5', 'PTX3', 'PITX3', 'MBL2', 'MBP', 'PRG2', 'S100A12', 'CD69', 'AR', 'AKR1B1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'CYREN', 'ACAT1', 'CALCA', 'PCYT1A', 'AHR', 'TCN1', 'RPLP2', 'PMP2', 'UROD', 'UBE4B', 'UBE4A', 'CST2', 'DPP10', 'IL17A', 'IL1B', 'SCGB1A1', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'JUP', 'TLX1NB', 'RLN2', 'FOXD3', 'CHN1', 'NEK9', 'IL5', 'NOVA2', 'TEC', 'RHBDF2', 'CXCL9', 'TWIST1', 'TNFSF11', 'NLRP3', 'CCL26', 'EPX']
Asthma	['INTU', 'CLU', 'CYLD', 'TNMD', 'MFT2', 'PPP1CB', 'ITLN1', 'KDM5D', 'IL32', 'MUC1', 'ETFA', 'SPACA9', 'GFER', 'RAB27A', 'LINC01193', 'JAM2', 'CFP', 'UCN', 'NBL1', 'IL2', 'CX3CL1', 'MTR', 'MS', 'ESD', 'HMGB1', 'MGR1', 'NPSR1', 'HR', 'BBS9', 'LMOD1', 'SERPINE1', 'SERPINB2', 'IL18', 'CXCL10', 'VNN1', 'CCL11', 'CCL3', 'IL6ST', 'LRPPRC', 'NM', 'ABCA1', 'QPCT', 'TRIM41', 'CFAP53', 'LIPC', 'HMGCL', 'POSTN', 'CD48', 'IL10RA', 'SLC25A25', 'RNASE3', 'OMA1', 'KRT8', 'GSTP1', 'SERPINA1', 'ADK', 'FOXO3', 'STXBP2', 'H19', 'SMPD1', 'ETV4', 'PTTG1IP', 'ZNF395', 'TNPO1', 'MIP', 'MIPEP', 'MAFIP', 'P2RY12', 'MASP1', 'IL1B', 'ANXA3', 'VEGFA', 'ARSA', 'NOS3', 'CCL22', 'ESR1', 'EREG', 'MSR1', 'SRA1', 'APBB3', 'PPY', 'PPA1', 'TIMP1', 'NOS1', 'GLCCI1', 'CD8A', 'ADAM12', 'SIRT1', 'SRC', 'AGA', 'HMOX1', 'CLC', 'CLCF1', 'NLRC4', 'A4GALT', 'CST1', 'TIMP2', 'CYBB', 'LANCL2', 'TGFB1', 'CHIT1', 'UST', 'NOD2', 'TLR4', 'PCLAF', 'FGFBP2', 'C5orf38', 'HOXD13', 'ENPP3', 'MPO', 'SLC25A5', 'GC', 'HSD17B4', 'DBP', 'A1CF', 'ACF', 'GZMB', 'DPP4', 'TEAD1', 'CTSG', 'IMPACT', 'AR', 'AKR1B1', 'TIGIT', 'BGLAP', 'PON1', 'TNFSF14', 'IL17A', 'TRPV2', 'HM13', 'CD1A', 'PRSS3P2', 'AHR', 'GYPB', 'SHOX', 'FDFT1', 'IL31', 'CS', 'SFXN1', 'WDR20', 'CALCA', 'UROD', 'CTNNA3', 'PRB1', 'MFAP4', 'SOCS3', 'CYSLTR1', 'UBE4B', 'UBE4A', 'MCL1', 'THBD', 'MAPK1', 'EPHB2', 'ISG15', 'CHI3L2', 'FLNA', 'FSHMD1A', 'PI3', 'AKT1', 'OPTC', 'SUCO', 'ALDH7A1', 'CHKA', 'CMPK1', 'CHKB', 'S100B', 'S100A1', 'SERPINB3', 'SERPINB4', 'ERMAP', 'MMP9', 'RORC', 'TNFRSF14', 'MPV17L', 'CYP2E1', 'MAP3K14', 'UBQLN4', 'CHN1', 'NEK9', 'ITGA2', 'C12orf73', 'PROCR', 'IL18R1', 'NTRK2', 'COL4A5', 'SLC2A10', 'MAP3K10', 'MPST', 'MSTO1', 'TAM', 'BDNF', 'TEC', 'RHBDF2', 'FNDC5', 'MED28', 'CD2', 'IFRD1', 'CCL26', 'ABI3', 'APOE', 'UTS2R', 'SLC14A2', 'ASF1A', 'NCOA5', 'LEP', 'DAO', 'AOC1', 'SOAT1', 'IL1RL1', 'CFTR', 'DBT', 'DLAT', 'SNORA62', 'SNORD12C', 'CST12P', 'NR1I2', 'JTB', 'CCL2', 'OIP5-AS1', 'FCN2', 'TSLP', 'HRH4', 'SLC14A1', 'PPP1R3A', 'IGHE', 'IL5', 'RAB3D', 'IFI6', 'RANGAP1', 'SLC17A5', 'IL5RA', 'PTPRN2', 'CCR3', 'DUSP22', 'SDHA', 'PTGFR', 'CDHR3', 'SCGB1A1', 'CD19', 'USO1', 'GAD1', 'IL26', 'CMAS', 'TNF', 'FLNC', 'CRYGC', 'CRYGEP', 'POR', 'VDAC2', 'ELP1', 'AURKB', 'PTGS2', 'CXCL8', 'ZIC3', 'IAPP', 'DNPEP', 'DAP', 'HIVEP1', 'SETDB2', 'EBI3', 'SLC16A1', 'MCPH1', 'MCAT', 'IKBKG', 'SDHB', 'PTGIR', 'ATP5IF1', 'S100A9', 'GLS2', 'PIK3CA', 'PIK3CG', 'PIK3CB', 'PIK3CD', 'ANXA5', 'CHI3L1', 'F3', 'TF', 'ASAH1', 'TAS2R38', 'PQBP1', 'CSRP3', 'CALML3', 'COTL1', 'ALOX12', 'CCL5', 'CCL17', 'CTLA4', 'CELIAC2', 'NOD1', 'CDKN2B-AS1', 'HLA-G', 'FN1', 'NTT', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'RAPGEF5', 'STAT3', 'CCR7', 'RPSA', 'ACSM3', 'TP53', 'PPARG', 'MALAT1', 'MITF', 'CD4', 'ARNTL', 'PER2', 'FCGR3A', 'FCGR3B', 'CPA1', 'TRIM32', 'IL33', 'ARG1', 'TINAGL1', 'NEAT1', 'RFC1', 'RFC4', 'IGKV2D-30', 'C4B', 'PREP', 'AP3B1', 'IRF6', 'P2RX7', 'FOXA1', 'BID', 'JPX', 'APC', 'PROC', 'AMY2A', 'EPB42', 'BLOC1S6', 'PRH1', 'CERS2', 'RPL3', 'HEXIM2', 'IGKV2-14', 'HMOX2', 'ANKRD42', 'IL13', 'BPI', 'CD80', 'GPR17', 'ALB', 'ADRB2', 'ALPL', 'ARHGEF40', 'SESTD1', 'PLEKHM1', 'IGKV5-2', 'SLPI', 'FAM126A', 'HCC', 'PTEN', 'MTLN', 'NANOS3', 'PGR', 'ATN1', 'CMA1', 'RBP4', 'POLR2D', 'MID1', 'SLC25A10', 'CCL13', 'S100A12', 'NFKB1', 'NTS', 'CD40LG', 'TRAF2', 'ACP5', 'SCYL1', 'TDRD7', 'TRAP', 'MAFD2', 'CXCR2', 'PCYT2', 'MFSD11', 'ACAT1', 'PCYT1A', 'ZNF746', 'CALR', 'TRIM21', 'CCN2', 'ACR', 'BCO1', 'PTGDR', 'MIF', 'AMH', 'S100A8', 'AHSG', 'NPPA', 'AGER', 'TIMM8A', 'MLRL', 'BAG3', 'SMARCA2', 'IGF1', 'DBNL', 'LY96', 'PRDX6', 'PRDX5', 'ENPP2', 'SMG1', 'C5', 'LPA', 'ERVK-18', 'ERVK-10', 'ERVK-19', 'TMEM37', 'ERVK-21', 'ERVK-24', 'ERVK-9', 'ERVK-8', 'ERVK-25', 'SLC45A2', 'IGKV2D-26', 'IGKV1D-39', 'GNE', 'TLX1NB', 'JUP', 'SFTPD', 'LCN1', 'SFTPB', 'SCX', 'PCNA', 'CXCL9', 'IL23A', 'IL37', 'FCER2', 'RLN2', 'AMPD1', 'MXD1', 'GRN', 'EGFR', 'AK6', 'MLIP', 'PODXL2', 'ATG7', 'ADAM33', 'NOVA2', 'GIT2', 'MOK', 'DEFA3', 'PGF', 'PIGF', 'TWIST1', 'TNC', 'TNNC1', 'RRM2', 'STAT2', 'THAS', 'ICOS', 'G6PC1', 'TGM4', 'ACD', 'BTK', 'GATM', 'FST', 'GBGT1', 'SFTPA1', 'SFTPA2', 'GRIN2B', 'RGMA', 'RELA', 'WNK1', 'IL20', 'IL17B', 'MKI67', 'HLA-DQA2', 'WFDC2', 'TNFAIP3', 'PMEL', 'SI', 'ARID3B', 'PPM1K', 'SPP1', 'SLC25A3', 'CLCN3', 'CRLF2', 'AOX1', 'OFC1', 'TCOF1', 'TBC1D1', 'CDH11', 'IL10RB', 'HPSE', 'KLK15', 'FOXC2', 'FMN1', 'DIO3', 'NHS', 'ITGB3', 'ITGA2B', 'CTSL', 'NLN', 'HLA-C', 'CAMP', 'PTGER2', 'SPAG11B', 'PTGDS', 'HPGDS', 'CPA3', 'CPA4', 'BTG3', 'GAS5', 'TPT1', 'IH', 'RNU6-1', 'RNU6-50P', 'GADD45B', 'STAT1', 'CD14', 'NDUFA2', 'IGHM', 'SLC7A4', 'IGHV3-21', 'IGHV3-30', 'IGHV4-34', 'IGHV2-70', 'IGHV3-7', 'IGHV3-33', 'IGHV2-5', 'IGHV4-59', 'IGHV4-39', 'IGHV4-28', 'IGHV4-4', 'IGHV1-24', 'IGHV3-9', 'IGHV3-48', 'IGHV3-11', 'IGHV3-53', 'IGHV3-49', 'IGHV3-72', 'IGHV6-1', 'IGHV1-45', 'IGHV1-58', 'IGHV4-61', 'IGHV3-73', 'IGHV3-15', 'IGHV3-66', 'IGHV3-74', 'IGHV2-26', 'IGHV3-16', 'IGHV3-20', 'IGHV3-35', 'IGHV3-38', 'IGHV3-43', 'IGHV3-64', 'IGHV5-51', 'FLVCR1', 'PDE4A', 'GSTK1', 'SLCO6A1', 'TOP2A', 'DIO2', 'IGHD2-15', 'MS4A1', 'SPANXB1', 'IGKV7-3', 'PSIP1', 'MUC5AC', 'MMP2', 'IGKV1-27', 'MID2', 'EPO', 'EPX', 'FLT4', 'PKD2L1', 'IL6', 'AZIN2', 'GADL1', 'ZSCAN31', 'LINC01672', 'PTPRC', 'ICAM1', 'ERVK-11', 'MAPK8', 'DSP', 'SRPRA', 'OLFM4', 'CFH', 'CD151', 'HTR2A', 'IL15', 'BCL2L11', 'SMC3', 'HIF1A', 'DNAH5', 'PCBD1', 'DNAI1', 'DNAAF3', 'PDCD4', 'GLS', 'TG', 'JUN', 'MZF1-AS1', 'PDE9A', 'SARDH', 'SRL', 'STAT6', 'PSME3', 'SNCG', 'SCTR', 'IGKV2D-28', 'DLL1', 'IL4', 'PAM', 'MYCBP2', 'MIA', 'MAPK13', 'ADA', 'HNRNPU', 'HP', 'DLC1', 'HPR', 'HSD11B1', 'CXCL1', 'PCSK7', 'PTX3', 'PITX3', 'CRP', 'CSRP1', 'PPIAP10', 'MBL2', 'MBP', 'PRG2', 'ARG2', 'MBTPS1', 'CETN2', 'MFAP1', 'EGF', 'LTB', 'IGKV2D-38', 'RIT1', 'LGALS9', 'PDGFRB', 'RNF34', 'RHOF', 'RBMY1A1', 'RBMY2DP', 'IGLL2P', 'BRD4', 'LNPEP', 'SORBS1', 'SERPINB6', 'HACD1', 'CTAA1', 'KRT19', 'DENND1B', 'BCR', 'DRC3', 'FKBP4', 'IFNA1', 'TW', 'GPX1', 'IGKV1D-22', 'TGM2', 'GPRC5A', 'CD276', 'AOC2', 'HLA-DQB1', 'GNAO1', 'HLA-DQB2', 'EDAR', 'APBB1IP', 'CD5', 'SLC25A4', 'TRAPPC9', 'AFA1', 'PTPRF', 'SHBG', 'CCHCR1', 'RNASE2', 'INS', 'PHGDH', 'PGD', 'IKZF4', 'PRSS33', 'EOS', 'PTGDR2', 'MOG', 'TH', 'S100A6', 'CD93', 'IL12B', 'LTF', 'CPE', 'IDO1', 'PRPH2', 'TST', 'MIR21', 'GUCY2D', 'CLTA', 'TBP', 'PSMD4', 'KLHL17', 'DCX', 'TREH', 'TRE-TTC3-1', 'PC', 'SCGB3A2', 'ALDH3A1', 'ATP6V0A2', 'GPHA2', 'SOD1', 'SLC5A8', 'CA1', 'EIF6', 'NPDC1', 'TSC22D3', 'GTF2E2', 'GTF2E1', 'CD163', 'NEK2', 'SLC6A2', 'NAT1', 'EIF4G2', 'SLC38A3', 'EPHB1', 'ELK3', 'CAD', 'DFFB', 'ACOD1', 'NRG1', 'ECSCR', 'CBFB', 'FEV', 'KLK8', 'RLN1', 'H1-5', 'CLIC4', 'VPS45', 'ROM1', 'CAV1', 'PAH', 'FGF2', 'ACSL3', 'CNR2', 'SPON2', 'TYMP', 'TMPO', 'SCO2', 'AGR2', 'CAT', 'CRAT', 'GLYAT', 'MUC5B', 'TNFRSF11B', 'BTF3P11', 'ITK', 'SLC22A3', 'CILK1', 'KAT8', 'IDS', 'SPDEF', 'LTA', 'C3', 'HLA-DRB1', 'RBM45', 'IL22', 'SEPTIN8', 'CD33', 'LOC102723407', 'LOC102724971', 'NDUFB6', 'ARCN1', 'COPD', 'THBS1', 'CRISP2', 'PRSS55', 'SERPINF2', 'CXCR4', 'CEL', 'PARP9', 'SLC27A5', 'C2', 'ELANE', 'PFAS', 'NELFCD', 'COL4A3', 'ORMDL3', 'LAMA1', 'TRPM7', 'MSC', 'SLC25A37', 'F2', 'TTF2', 'ROS1', 'MIR146A', 'IL12A', 'MMP7', 'IL2RA', 'ISG20', 'CCL24', 'POMT1', 'SERPINA5', 'SLC2A1', 'PLXNA2', 'IL17RA', 'ATM', 'COX5A', 'SLC10A4', 'CCL21', 'IL27', 'GJA1', 'PANK2', 'SGSH', 'CD63', 'DNASE1L3', 'HSPA9', 'CSH1', 'ERCC8', 'TNFRSF4', 'TACR2', 'IGKV4-1', 'OPRD1', 'TP53INP2', 'SPTBN1', 'SLC8A1', 'FXN', 'FANCA', 'CCR2', 'CHRM1', 'MRLN', 'H3C14', 'RLN3', 'IL9', 'AGXT', 'NPPB', 'LCN2', 'C7', 'IGLC7', 'OAP', 'GSDMB', 'GAPDH', 'GAPDHP44', 'DST', 'FOXP3', 'CD69', 'VDR', 'CYP27B1', 'IFNG', 'DSC3', 'MBL3P', 'SCLC1', 'PNP', 'ZNF384', 'CTF2P', 'NOS2', 'NANOS2', 'CYREN', 'KRT17', 'PODXL', 'LCA10', 'C6orf47', 'TCN1', 'ACE', 'MIR203A', 'TFF2', 'NR3C1', 'EPCAM', 'FLOT2', 'CCL18', 'MMP19', 'CODA', 'LRG1', 'ATP8B5P', 'CX3CR1', 'TSIX', 'UCK2', 'LIPH', 'HCA1', 'DPP10', 'UCN2', 'GBAP1', 'SMOX', 'PAOX', 'HGS', 'IGFBP4', 'MSD', 'HNMT', 'CBS', 'CBSL', 'IGFALS', 'FOXD3', 'ST2', 'SULT2A1', 'SDCBP2', 'CXCR1', 'CLCA1', 'CD3E', 'ADCYAP1R1', 'GATA3', 'ANC', 'DMPK', 'CD34', 'FCGR1B', 'PARP1', 'COL11A2', 'C11orf65', 'IGLL1', 'RPS4Y1']
Allergic asthma	['IL32', 'TGM4', 'OIP5-AS1', 'FCN2', 'SLC5A8', 'TSLP', 'GTF2E2', 'GTF2E1', 'GRIN2B', 'IGHE', 'MTR', 'MS', 'CAD', 'DFFB', 'ACOD1', 'RANGAP1', 'SLC17A5', 'FEV', 'HMGB1', 'RLN1', 'H1-5', 'CLIC4', 'VPS45', 'CLCN3', 'FLNC', 'LEP', 'CDH11', 'DIO3', 'IGF1', 'SLC25A25', 'PTGDS', 'HPGDS', 'ADK', 'NDUFB6', 'ARCN1', 'COPD', 'GSTK1', 'SLCO6A1', 'NOD1', 'IL17A', 'CEL', 'PARP9', 'SLC27A5', 'DIO2', 'IGHD2-15', 'MASP1', 'COL4A3', 'IL1B', 'MSC', 'SLC25A37', 'IL2RA', 'ISG20', 'CD4', 'CHI3L1', 'NOS1', 'SLC2A1', 'TRIM32', 'TNF', 'IL33', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'IRF6', 'HTR2A', 'JPX', 'JUN', 'TG', 'CHIT1', 'MZF1-AS1', 'IL13', 'NOD2', 'TLR4', 'IL9', 'AGXT', 'SLC25A5', 'IL4', 'MAPK13', 'HNRNPU', 'A1CF', 'ACF', 'SERPINE1', 'ATN1', 'CMA1', 'RBP4', 'POLR2D', 'TEAD1', 'DST', 'FOXP3', 'S100A12', 'AR', 'AKR1B1', 'NFKB1', 'CD40LG', 'TRAF2', 'ACP5', 'SCYL1', 'TDRD7', 'TRAP', 'NOS2', 'NANOS2', 'CYREN', 'ACAT1', 'TNFSF14', 'CD1A', 'PRSS3P2', 'MIF', 'S100A9', 'AMH', 'S100A8', 'IL31', 'CCL18', 'CS', 'ENPP2', 'SMG1', 'LPA', 'IGFBP4', 'SCGB1A1', 'SFTPD', 'TLX1NB', 'PTPRF', 'CCL2', 'IL23A', 'IL37', 'RORC', 'IGFALS', 'ATG7', 'IL1RL1', 'ST2', 'SULT2A1', 'SDCBP2', 'GATA3', 'CD93', 'LTF', 'IDO1']
Non-allergic asthma	['TEAD1', 'RBP4', 'POLR2D', 'RORC', 'TNF', 'NDUFB6', 'ARCN1', 'COPD', 'JPX', 'LEP', 'CDH11', 'MAPK13', 'MZF1-AS1', 'IL17A', 'HNRNPU', 'TLR4', 'OIP5-AS1', 'SERPINE1']
Cough variant asthma	['C5', 'MMP9', 'IL5', 'ASAH1', 'ARCN1', 'COPD', 'IKZF4', 'PRSS33', 'EOS']
Nasal polyp	['CALCA', 'UROD', 'RNASE3', 'IL13', 'RNASE2', 'TSLP', 'IL4', 'IGHE', 'MBL2', 'MBP', 'PRG2', 'CD69', 'HR', 'AR', 'AKR1B1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'NOS1', 'PCYT1A', 'IL5', 'BPIFA1', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'TWIST1', 'TCN1', 'AHR', 'CLC', 'CLCF1', 'CCL26', 'EPX']
Allergic conjunctivitis	['ACD', 'GAPDH', 'GAPDHP44', 'GYPC', 'RANGAP1', 'SLC17A5', 'IL5', 'ASAH1', 'ADCY10', 'IL4', 'IGHE', 'CD55', 'TCN2', 'IL13', 'CD4', 'IL6']
Vernal keratoconjunctivitis	['HRH4', 'H4C14', 'CCDC6', 'H4C6', 'TGFB1', 'RNASE3', 'IL13', 'SPACA9', 'SPDEF', 'ACD', 'GYPC', 'ASAH1', 'IGHE', 'MUC5AC', 'GAPDH', 'GAPDHP44', 'RANGAP1', 'SLC17A5', 'MBL2', 'MBP', 'PRG2', 'RLN1', 'H1-5', 'CLIC4', 'VPS45', 'CD4', 'CCL24', 'IL6', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'ADCY10', 'CD55', 'TCN2', 'HRH1']
