Disease	Biomarkers
Attention deficit hyperactivity disorder	['C6orf15', 'SHBG', 'CD82', 'RRM2', 'CD1E', 'NOVA2', 'CGAS', 'GDNF', 'ATP5MC3', 'SLC10A3', 'DCD', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'ARHGDIB', 'MTR', 'MS', 'DRD2', 'PRB1', 'CFB', 'DMAC2L', 'DNMT3B', 'TCN1', 'IQCB1', 'EDA', 'NBL1', 'NOS1', 'NANOS1', 'F2R', 'TFRC', 'TERC', 'TXNRD1', 'TMEFF2', 'TXNRD2', 'GART', 'TEAD1', 'OSR1', 'ENPP2', 'SMG1', 'SSB', 'SMN1', 'STMN1', 'SNRPN', 'DHDDS', 'CHPT1', 'IFI6', 'MAP6', 'STS', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'SST', 'TIMP1', 'UTS2R', 'SLC14A2', 'PAH', 'PON1', 'ERG', 'SIGLEC1', 'SCG2', 'LIME1', 'IL6', 'HGF', 'SOS1', 'CFP', 'TSPO', 'CD36', 'FAT1', 'DRD1', 'KIAA1109', 'SNAP25', 'ABR', 'SLC6A3', 'ASAH1', 'MARK2', 'ENO3', 'MSE', 'FXN', 'FANCA', 'BDNF', 'NDUFB6', 'F7', 'HR', 'BBS9', 'LMOD1', 'TGFBI', 'CSAD', 'TYMS', 'PYCARD', 'GYPC', 'SPTBN2', 'SAFB', 'SLC22A18', 'AGO1', 'PGC', 'AGA', 'GLS2', 'PQBP1', 'GALK1', 'TSC1', 'SLC12A3', 'TESC', 'DRD4', 'CACNA1C', 'TBXAS1', 'GCY', 'MECP2', 'RANGAP1', 'SLC17A5', 'CYREN', 'NOS3', 'NANOS3', 'SLC25A5', 'KITLG', 'SMUG1', 'EPHA1', 'ELK3', 'GCLC', 'GCA', 'GMCL1', 'GMCL2', 'REST', 'GC', 'GBAP1', 'TAL1', 'KRT7', 'SCLY', 'CTSG', 'ARSH', 'CTSL', 'NLN', 'CYCS', 'HLCS', 'BAG3', 'SMARCA2', 'MCIDAS', 'NAAA', 'CA1', 'EIF6', 'NPDC1', 'SLC6A4', 'SLC7A8', 'FUT2', 'ARHGEF7', 'CTLA4', 'NOD2', 'CELIAC2', 'SYNM', 'IFNG', 'CRP', 'CSRP1', 'PPIAP10', 'NKG7', 'CDH13', 'HPSE', 'CUX1', 'CRTAP', 'CYTIP', 'ARSD', 'POMT1', 'UGT8', 'CHRM1', 'MRLN', 'KRAS', 'GNL3', 'SPINK5', 'ARFGEF1', 'DST', 'RAD21', 'MGS', 'CSF2', 'LAMC2', 'GIT1', 'CFH']
Parkinsonism	['APOE', 'NPC1', 'DCTN1', 'PSEN1', 'TNC', 'RNF130', 'SOD1', 'IGFALS', 'SLC6A3', 'NR1I2', 'JTB', 'GAD1', 'UCN3', 'SLC50A1', 'LPO', 'EP300', 'GJA8', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'CASP4', 'PPP1R3A', 'CFP', 'CFD', 'BGN', 'TSPO', 'PMEL', 'SI', 'PARK7', 'CCL28', 'ENC1', 'SPG7', 'STS', 'KCNJ13', 'PSG5', 'HR', 'SV2A', 'PAH', 'PRKN', 'TCOF1', 'TNF', 'TRGV9', 'NDE1', 'COMT', 'TBP', 'TAF1', 'NMS', 'CAT', 'CRAT', 'GLYAT', 'FANCB', 'GSTP1', 'SERPINA1', 'RNMT', 'SLTM', 'CACNA1A', 'LYPLA2P1', 'LRP2', 'MCF2L', 'U2AF1', 'ZNF362', 'MAPT', 'NDUFB6', 'ASAH1', 'XDH', 'NFASC', 'ATXN2', 'PDHB', 'ELANE', 'SLC18A2', 'FBXO41', 'SPARC', 'SYNM', 'DRD2', 'DNER', 'NYS3', 'CHCHD2', 'ROS1', 'PF4', 'CAMK2G', 'GBA', 'GBAP1', 'SNCA', 'ESR1', 'EREG', 'IL6', 'AZIN2', 'GADL1', 'PLXNA2', 'LINC01672', 'GFAP', 'EEF1A2', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'HMOX1', 'PKD2', 'KRT17', 'CBX4', 'PCSK2', 'KRT6B', 'FBXO2', 'PAEP', 'CA1', 'PCLAF', 'FXN', 'FANCA', 'RBM8A', 'CHRM1', 'MRLN', 'MAOA', 'DLL1', 'SNRPG', 'SAMD4A', 'TET2', 'SF3B1', 'YWHAE', 'ASXL1', 'PAFAH1B1', 'GNB1', 'SIGLEC1', 'SCG2', 'PINK1', 'PCSK1', 'BTG2', 'KRT6A', 'CBX8', 'ACTR1B', 'CD46', 'CAPG', 'NEFL', 'GPR37', 'FXYD1', 'PCYT2', 'MFSD11', 'CYREN', 'TPO', 'SLC25A5', 'ACAT1', 'CALCA', 'PCYT1A', 'MYO1C', 'NMI', 'NPFF', 'CLTC', 'PODXL', 'PC', 'PDE10A', 'CD82', 'RRM2', 'CD1E', 'TCN1', 'IGLL2P', 'CISH', 'IFNA1', 'RRM1', 'CD1B', 'PNKD', 'CDCA7L', 'PROC', 'PKD1', 'KRT16', 'LY6E', 'NDP', 'CSF2', 'LAMC2', 'LPA', 'MCIDAS', 'GNE', 'NM', 'PRDX2', 'C4BPA', 'CARD14', 'ABCB6', 'TLX1NB', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'IGKV1-5', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'CCL2', 'CRYGD', 'FBXO7', 'CBS', 'CBSL', 'UCHL1', 'ZFYVE9', 'SMUG1', 'DES', 'CHN1', 'NEK9', 'SMARCA1', 'TH', 'CD40', 'TARDBP', 'BDNF', 'OPN1MW', 'AP1S2', 'IGLL1', 'AVP', 'PPOX', 'MECP2', 'PITX2', 'RS1', 'REG1CP', 'TSC22D3', 'PIAS2', 'NCKIPSD', 'GRAMD4', 'DIP']
Parkinson disease	['APOE', 'TRPC6', 'RHOT1', 'SNORD118', 'DDC', 'TNFRSF1B', 'PSIP1', 'TCF3', 'CUX1', 'KHSRP', 'SIGLEC7', 'HCLS1', 'NT5E', 'LRRK2', 'PAF1', 'MYL4', 'SLC6A3', 'NR1I2', 'JTB', 'FGD1', 'PRNP', 'MT-ND5', 'LDHB', 'SOD1', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'PPP1R3A', 'CFP', 'CFD', 'BGN', 'TSPO', 'MTR', 'MS', 'VPS35', 'KDM5D', 'RANGAP1', 'SLC17A5', 'AR', 'STS', 'FUT2', 'IBSP', 'PSG5', 'HR', 'BBS9', 'LMOD1', 'TPH2', 'TDO2', 'SST', 'DMD', 'LAG3', 'PRKN', 'PSMC1', 'RPS4X', 'RPS4Y1', 'TCOF1', 'TYMS', 'PYCARD', 'ABCC8', 'COMT', 'FOXC2', 'FMN1', 'DIO3', 'ELP1', 'TBP', 'NTS', 'IGF1', 'EIF2B5', 'RTRAF', 'CAT', 'CRAT', 'GLYAT', 'PARK7', 'GDF15', 'DLD', 'ALDH9A1', 'SNORA63', 'SNORD12C', 'HLA-C', 'RNMT', 'SLTM', 'ASPSCR1', 'PDCD1', 'RPL17', 'RPL17-C18orf32', 'LYPLA2P1', 'STAT1', 'LRP2', 'MCF2L', 'DR1', 'U2AF1', 'ZNF362', 'F3', 'TF', 'RAB44', 'MAPT', 'NDUFB6', 'BBS2', 'NFASC', 'MB', 'CTLA4', 'NOD2', 'CELIAC2', 'PSMA7', 'CYCS', 'HLCS', 'H19', 'SMPD1', 'ASL', 'ADSL', 'MDK', 'ATP7A', 'MVK', 'DIO2', 'IGHD2-15', 'TNPO1', 'MIP', 'MIPEP', 'MAFIP', 'SLC18A2', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'SPARC', 'NYS3', 'ROS1', 'CAMK2G', 'GBA', 'GBAP1', 'CNR1', 'NPM1', 'SNCA', 'YTHDF2', 'PPY', 'PPA1', 'NOS1', 'PLXNA2', 'CD8A', 'PNN', 'SRPX', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'EEF1A2', 'ZNF43', 'RFC1', 'RFC4', 'IGKV2D-30', 'HMOX1', 'IRF6', 'CYP1A2', 'YWHAQ', 'CCL21', 'DPYSL2', 'HRH4', 'H4C14', 'CCDC6', 'H4C6', 'UBN1', 'PAEP', 'AKAP4', 'PCLAF', 'FXN', 'FANCA', 'ACTB', 'POTEF', 'PACC1', 'RBM8A', 'ADORA2A', 'HSP90B2P', 'HLA-DOB', 'SNRPG', 'SAMD4A', 'RPSA', 'MVP', 'PTPRA', 'PTEN', 'HSD11B1', 'TET2', 'SF3B1', 'YWHAE', 'ASXL1', 'PAFAH1B1', 'GNB1', 'SIGLEC1', 'SCG2', 'PINK1', 'CXCL10', 'C7', 'IGLC7', 'STATH', 'CRP', 'CSRP1', 'PPIAP10', 'NEFL', 'DNAAF4', 'NELFE', 'PEX7', 'PHYH', 'ERMAP', 'DYX1', 'TUG1', 'MST1', 'TMPRSS13', 'LMLN', 'NEDD9', 'NUCKS1', 'CD40LG', 'TRAF2', 'ACP5', 'SCYL1', 'TDRD7', 'TRAP', 'EGF', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'PCYT2', 'MFSD11', 'CYREN', 'TPO', 'CYP2B6', 'PON1', 'KRT17', 'PODXL', 'PC', 'ATP5MC3', 'SLC10A3', 'LBP', 'EHHADH', 'TCN1', 'MIF', 'S100A9', 'AMH', 'S100A8', 'IGLL2P', 'TFF2', 'PARK16', 'PLIN1', 'P4HB', 'CISH', 'HTT', 'EPRS1', 'CSF2', 'LAMC2', 'IGHG3', 'SLC5A2', 'MCIDAS', 'ELK3', 'GNE', 'NM', 'DNMT1', 'PRDX2', 'C4BPA', 'CARD14', 'ABCB6', 'TLX1NB', 'ALDH7A1', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'SCX', 'BCR', 'RN7SL263P', 'CBS', 'CBSL', 'MBOAT4', 'UCHL1', 'SMUG1', 'EGFR', 'SLC2A1', 'SLC11A2', 'CHMP2B', 'DMRT1', 'FUS', 'PRS', 'CHN1', 'NEK9', 'PMEL', 'STIL', 'ATR', 'ANTXR1', 'MMAB', 'SERPINA2', 'SGSM3', 'MGAM', 'SMARCA1', 'TH', 'NOVA2', 'TARDBP', 'BDNF', 'PRD', 'OPN1MW', 'IGLL1', 'THPO', 'MECP2', 'PITX2', 'RS1', 'REG1CP', 'IGFALS']
Sporadic Parkinson disease	['GDF15', 'APOE', 'RHOT1', 'LRRK2']
Familial Parkinson disease	['CSF2', 'LAMC2']
Atypical parkinsonism	['NPC1', 'SLC6A3', 'CSF2', 'LAMC2', 'LYPLA2P1', 'U2AF1', 'ZNF362', 'EP300', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'TET2', 'SF3B1', 'YWHAE', 'ASXL1', 'PAFAH1B1', 'GNB1', 'ELANE', 'SPG7', 'UCHL1', 'SMUG1', 'NEFL', 'CHCHD2', 'SMARCA1', 'CYREN', 'TPO', 'OPN1MW', 'MECP2', 'PITX2', 'RS1', 'REG1CP']
Progressive supranuclear palsy	['APOE', 'SPOCK1', 'FBRS', 'FBXO8', 'LRRK2', 'PSEN1', 'TNC', 'RNF130', 'SLC6A3', 'NR1I2', 'JTB', 'GPI', 'GNPDA1', 'F2R', 'TFRC', 'TERC', 'TXNRD1', 'TMEFF2', 'TXNRD2', 'CCL2', 'PRNP', 'GAD1', 'UCN3', 'SLC50A1', 'TARDBP', 'PLXNA3', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'SCRN1', 'SAA1', 'SAA2', 'MTR', 'MS', 'SPG7', 'MAPT', 'RANGAP1', 'SLC17A5', 'STS', 'BLMH', 'EML1', 'NDE1', 'PARK7', 'KLK3', 'SH2B2', 'DR1', 'CHI3L1', 'U2AF1', 'ZNF362', 'CD14', 'NDUFA2', 'NDUFB6', 'CYRIB', 'IGKV1-16', 'HMBS', 'NFASC', 'DIO2', 'IGHD2-15', 'ELANE', 'NEFL', 'DNER', 'NYS3', 'CALM3', 'PLXNB2', 'PFDN5', 'AGO2', 'SNCA', 'IL6', 'NOS1', 'PLXNA2', 'GFAP', 'PMP22', 'MPZ', 'NR0B1', 'MAA', 'CHIT1', 'MLST8', 'OPRD1', 'TP53INP2', 'PTPN1', 'COQ2', 'PCLAF', 'RBM8A', 'DLL1', 'COPZ1', 'VCP', 'TET2', 'SF3B1', 'YWHAE', 'ASXL1', 'PAFAH1B1', 'GNB1', 'SIGLEC1', 'SCG2', 'CD46', 'CAPG', 'PRPH2', 'DHPS', 'DHDDS', 'CRP', 'CSRP1', 'PPIAP10', 'RRM1', 'PCYT2', 'MFSD11', 'CYREN', 'TPO', 'CALCA', 'PCYT1A', 'SLC25A5', 'ACAT1', 'MYO1C', 'NMI', 'GRN', 'CD82', 'RRM2', 'CD1E', 'TCN1', 'SCD', 'PDB1', 'CD1B', 'PNKD', 'CDCA7L', 'EFTUD2', 'LRG1', 'NDP', 'CSF2', 'LAMC2', 'NAMPT', 'DYM', 'LPA', 'MCIDAS', 'NOTCH1', 'TLX1NB', 'RUNX1T1', 'AKR1C4', 'CDR1', 'CBS', 'CBSL', 'SMUG1', 'FUS', 'CHN1', 'NEK9', 'PIN1', 'PDZD2', 'SGSM3', 'SMARCA1', 'TH', 'GPSM2', 'CALCR', 'OPN1MW', 'MECP2', 'PITX2', 'RS1', 'REG1CP', 'SOD1', 'IGFALS']
Lewy body disease	['APOE', 'DCTN1', 'CISH', 'DLD', 'ALDH9A1', 'SNORA63', 'SNORD12C', 'DNASE1L3', 'AMY2A', 'EPB42', 'BLOC1S6', 'PRH1', 'LPA', 'SEPSECS', 'SLC6A3', 'DAG1', 'MCL1', 'THBD', 'CSF2', 'LAMC2', 'MCIDAS', 'FLVCR1', 'RBM8A', 'NDUFB6', 'NFASC', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'PINK1', 'SMPD1', 'RANGAP1', 'SLC17A5', 'SMUG1', 'NYS3', 'GRN', 'PRS', 'GBA', 'GBAP1', 'PCYT2', 'MFSD11', 'CYREN', 'TPO', 'CALCA', 'PCYT1A', 'CEL', 'TH', 'SLC25A5', 'ACAT1', 'KRT17', 'PODXL', 'PC', 'TARDBP', 'MCOLN1', 'ELANE', 'GYPC', 'OPN1MW', 'HNRNPC', 'ARHGAP4', 'PFDN4', 'TRGC1', 'BCR', 'YWHAQ', 'VSNL1']
Vascular parkinsonism	['NMS', 'SLC6A3', 'NR1I2', 'JTB', 'CSF2', 'LAMC2', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'NDUFB6', 'DLL1', 'PMEL', 'SI', 'CCL28', 'ENC1', 'CCL2', 'SLC18A2', 'STS', 'SMUG1', 'DNER', 'KCNJ13', 'PF4', 'IL6', 'SMARCA1', 'CYREN', 'TPO', 'MYO1C', 'NMI', 'CD40', 'AVP', 'PPOX']
Drug-induced parkinsonism	['REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'MYO1C', 'NMI', 'TCOF1', 'SLC6A3', 'TSC22D3', 'PIAS2', 'NCKIPSD', 'GRAMD4', 'DIP', 'SIGLEC1', 'SCG2']
