Disease	Biomarkers
Acute sinusitis	['CYREN', 'CALCA', 'PCYT1A']
Streptococcal pharyngitis	['CADPS', 'CAPS', 'MEFV']
Acute tonsillitis	['PTGS2', 'IGKV1D-22', 'SEMA4D', 'IGKV2D-23', 'F11', 'PTCRA', 'IL18', 'S100B', 'S100A1']
Streptococcal tonsillitis	['AZU1', 'SLBP', 'HDLBP', 'HEBP1', 'CALCA', 'UROD']
Allergic rhinitis	['IL17A', 'IL10', 'DNASE1L3', 'DAO', 'AOC1', 'SPACA9', 'NR1I2', 'JTB', 'OIP5-AS1', 'SCGB3A2', 'LTA4H', 'IRF1', 'FCN2', 'SLC5A8', 'TSLP', 'TNFSF13B', 'IGHE', 'IL4', 'MTR', 'MS', 'NPY', 'RANGAP1', 'SLC17A5', 'NRG1', 'ECSCR', 'BPIFB2', 'HR', 'SPP1', 'CD19', 'CCL11', 'TNF', 'TYMS', 'PYCARD', 'FLNC', 'IL27', 'MYDGF', 'HPSE', 'CXCL10', 'CD48', 'IGF1', 'SLC25A25', 'RNASE3', 'CPSF4', 'PTGDS', 'HPGDS', 'TFRC', 'CP', 'CD14', 'NDUFA2', 'FGFR3', 'RNASE2', 'LOC102723407', 'LOC102724971', 'FLVCR1', 'ARCN1', 'COPD', 'NDUFB6', 'NFASC', 'CCL17', 'CCL5', 'LAMP1', 'HLA-G', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'MASP1', 'EPB41', 'CYTIP', 'RAI1', 'SMS', 'IL1B', 'ARSA', 'CD4', 'PLXNA2', 'LINC01672', 'CD8A', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'COX5A', 'DSP', 'PTGDR', 'SRPRA', 'SLFN12', 'SGCG', 'ATP6V0A4', 'PLP2', 'IGKV1D-27', 'PREP', 'AP3B1', 'CLC', 'CLCF1', 'CD63', 'DNAH5', 'PCBD1', 'DNAI1', 'DNAAF3', 'JPX', 'MZF1-AS1', 'IL13', 'SARDH', 'SRL', 'ACOT7', 'STAT6', 'CCL4', 'IL12A', 'AGXT', 'SCGB1A1', 'SLPI', 'MUC5AC', 'FCER2', 'HP', 'DLC1', 'HPR', 'HNRNPU', 'CMA1', 'KRAS', 'GNL3', 'SPINK5', 'CXCR5', 'MBL2', 'MBP', 'PRG2', 'AR', 'AKR1B1', 'NFKB1', 'MFAP1', 'RIT1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'ENPP3', 'CALCA', 'PCYT1A', 'KRT17', 'PODXL', 'PC', 'TCN1', 'MIF', 'S100A9', 'AMH', 'S100A8', 'IL31', 'PTPRN2', 'CPB2', 'IFNA1', 'LIPH', 'HCA1', 'GC', 'GBAP1', 'ACACA', 'IL12B', 'OPTC', 'SUCO', 'JUP', 'PTPRF', 'ALCAM', 'RLN2', 'RORC', 'GLDC', 'AMT', 'GCSH', 'TLR7', 'IGFALS', 'LPCAT2', 'BECN1', 'IL1RL1', 'ST2', 'SULT2A1', 'SDCBP2', 'CXCR1', 'IKZF4', 'PRSS33', 'EOS', 'IL5', 'NOVA2', 'MUC4', 'CD93', 'DMPK', 'C11orf65', 'CD2', 'TWIST1', 'IGLL1', 'IDO1']
Non-allergic rhinitis	['EPB41', 'CYTIP', 'RLN2', 'CPSF4', 'AGXT', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'DNASE1L3', 'AR', 'AKR1B1', 'IGHE', 'TWIST1', 'TCN1', 'HP', 'DLC1', 'HPR', 'NR1I2', 'SARDH', 'SRL', 'PTPRF', 'IKZF4', 'PRSS33', 'EOS']
Chronic rhinitis	['KRAS', 'GNL3', 'SPINK5', 'CPSF4', 'AGXT', 'DNASE1L3', 'CCL17', 'AR', 'AKR1B1', 'TWIST1', 'HP', 'DLC1', 'HPR', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'IKZF4', 'PRSS33', 'EOS']
Chronic nasopharyngitis	['FOXC1', 'NPC1', 'FOXCUT', 'HNRNPC', 'ARHGAP4', 'PFDN4', 'TRGC1']
Chronic rhinosinusitis	['NPS', 'PRRT2', 'SPG7', 'ENO2', 'CMM', 'TSLP', 'PPP1R3A', 'TLR2', 'IGHE', 'CDKN2A', 'RANGAP1', 'SLC17A5', 'PDIA3', 'PLCB1', 'PLCB4', 'HR', 'CXCL10', 'CNR2', 'TYMP', 'TMPO', 'SCO2', 'LCN1', 'HPSE', 'POSTN', 'CCL17', 'SERPINB5', 'TNFRSF11B', 'BTF3P11', 'PDIA6', 'SLC10A5', 'RNASE3', 'ITK', 'SLC22A3', 'CPSF4', 'MUC1', 'AGA', 'GLS2', 'PIK3CA', 'PIK3CG', 'PIK3CB', 'PIK3CD', 'ELANE', 'ALOX15', 'CHI3L1', 'RNASE2', 'NDUFB6', 'TAS2R38', 'CREB1', 'ARCN1', 'COPD', 'CD55', 'CR2', 'TDGF1', 'CALB2', 'PPHLN1', 'DHRS4', 'NELFCD', 'EPB41', 'CYTIP', 'CSF3', 'VEGFA', 'ARSA', 'CD4', 'KDR', 'IL6', 'SULT1A1', 'ST8SIA4', 'CD8A', 'BPIFA1', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'ATM', 'COX5A', 'CLC', 'CLCF1', 'IRF6', 'DNAH5', 'PCBD1', 'DNAI1', 'DNAAF3', 'SPARC', 'IL13', 'STAT6', 'ARHGEF40', 'SESTD1', 'DLL1', 'SLC25A5', 'IL4', 'MUC5AC', 'MT3', 'KRAS', 'GNL3', 'SPINK5', 'PTX3', 'PITX3', 'MBL2', 'MBP', 'PRG2', 'S100A12', 'CD69', 'AR', 'AKR1B1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'CYREN', 'ACAT1', 'CALCA', 'PCYT1A', 'AHR', 'TCN1', 'RPLP2', 'PMP2', 'UROD', 'UBE4B', 'UBE4A', 'CST2', 'DPP10', 'IL17A', 'IL1B', 'SCGB1A1', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'JUP', 'TLX1NB', 'RLN2', 'FOXD3', 'CHN1', 'NEK9', 'IL5', 'NOVA2', 'TEC', 'RHBDF2', 'CXCL9', 'TWIST1', 'TNFSF11', 'NLRP3', 'CCL26', 'EPX']
Nasal polyp	['CALCA', 'UROD', 'RNASE3', 'IL13', 'RNASE2', 'TSLP', 'IL4', 'IGHE', 'MBL2', 'MBP', 'PRG2', 'CD69', 'HR', 'AR', 'AKR1B1', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'NOS1', 'PCYT1A', 'IL5', 'BPIFA1', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'TWIST1', 'TCN1', 'AHR', 'CLC', 'CLCF1', 'CCL26', 'EPX']
